Model,Subgroup,N,Prevalence,AUROC,AUROC_CI,PRAUC,F1,F1_CI,Precision,Recall,FPR,FNR,ECE_pre,Brier
Multimodal CNN–BiGRU,Female,190.0,0.6684210300445557,0.7645294338207724,0.683-0.838,0.8394867638458092,0.8527131782945736,0.806-0.897,0.8396946564885496,0.8661417322834646,0.3333333333333333,0.13385826771653545,0.1550094689193525,0.19045619666576385
Multimodal CNN–BiGRU,Male,417.0,0.6115108132362366,0.7538852578068264,0.706-0.801,0.815423782256572,0.7692307692307693,0.726-0.809,0.7547169811320755,0.7843137254901961,0.4012345679012346,0.21568627450980393,0.14275911128778251,0.20790202915668488
Multimodal CNN–BiGRU,Age_Below_Median,307.0,0.534201979637146,0.769913013815453,0.718-0.821,0.7895920463842538,0.757396449704142,0.703-0.802,0.735632183908046,0.7804878048780488,0.32167832167832167,0.21951219512195122,0.12714334696240068,0.21136851608753204
Multimodal CNN–BiGRU,Age_Above_Median,300.0,0.7266666889190674,0.7247147012754531,0.659-0.792,0.8503963154894634,0.8272727272727273,0.785-0.864,0.8198198198198198,0.8348623853211009,0.4878048780487805,0.1651376146788991,0.1662881764769554,0.1933055818080902
Multimodal CNN–BiGRU,Female_Below,101.0,0.594059407711029,0.7796747967479675,0.686-0.862,0.836895548855154,0.8032786885245902,0.721-0.870,0.7903225806451613,0.8166666666666667,0.3170731707317073,0.18333333333333332,0.10695090181756728,0.19701552391052246
Multimodal CNN–BiGRU,Female_Above,89.0,0.7528089880943298,0.7184531886024423,0.567-0.857,0.850877991669025,0.8970588235294118,0.835-0.943,0.8840579710144928,0.9104477611940298,0.36363636363636365,0.08955223880597014,0.22425298911801886,0.183012455701828
Multimodal CNN–BiGRU,Male_Below,206.0,0.5048543810844421,0.766685520361991,0.701-0.833,0.7623424820281488,0.7314814814814815,0.660-0.795,0.7053571428571429,0.7596153846153846,0.3235294117647059,0.2403846153846154,0.14218011693757715,0.21840569376945496
Multimodal CNN–BiGRU,Male_Above,211.0,0.7156398296356201,0.7173289183222958,0.642-0.792,0.8536301097611043,0.7960526315789473,0.742-0.842,0.7908496732026143,0.8013245033112583,0.5333333333333333,0.1986754966887417,0.1571950867277751,0.19764724373817444
Multimodal CNN–BiGRU,DELTA: Female - Male,,,0.010644176013946072,-0.083-0.104,,0.08348240906380433,0.022-0.145,,,,,,
Multimodal CNN–BiGRU,DELTA: Older - Younger,,,-0.04519831253999984,-0.135-0.041,,0.06987627756858528,0.010-0.133,,,,,,
XGBoost,Female,190.0,0.6684210300445557,0.6996000499937508,0.614-0.776,0.8158602052784045,0.8248175182481752,0.772-0.869,0.7687074829931972,0.889763779527559,0.5396825396825397,0.11023622047244094,0.13951307221462853,0.20328712463378906
XGBoost,Male,417.0,0.6115108132362366,0.7381142580488986,0.686-0.790,0.802020635851095,0.8033898305084746,0.766-0.840,0.7074626865671642,0.9294117647058824,0.6049382716049383,0.07058823529411765,0.13589265985454588,0.2114706188440323
XGBoost,Age_Below_Median,307.0,0.534201979637146,0.7251407129455911,0.668-0.782,0.7455921038290012,0.7473118279569892,0.698-0.792,0.6682692307692307,0.8475609756097561,0.4825174825174825,0.1524390243902439,0.1599737655262217,0.22999724745750427
XGBoost,Age_Above_Median,300.0,0.7266666889190674,0.6708156187066457,0.599-0.739,0.8408462658659627,0.8577235772357723,0.822-0.891,0.7700729927007299,0.9678899082568807,0.7682926829268293,0.03211009174311927,0.1250237628320853,0.18732881546020508
XGBoost,Female_Below,101.0,0.594059407711029,0.7353658536585366,0.643-0.830,0.8036208938616171,0.7804878048780488,0.694-0.855,0.7619047619047619,0.8,0.36585365853658536,0.2,0.14620723287657936,0.20729006826877594
XGBoost,Female_Above,89.0,0.7528089880943298,0.5719131614654003,0.436-0.707,0.8151341925071485,0.8609271523178808,0.803-0.916,0.7738095238095238,0.9701492537313433,0.8636363636363636,0.029850746268656716,0.16051046131701951,0.1987444907426834
XGBoost,Male_Below,206.0,0.5048543810844421,0.7259615384615384,0.653-0.792,0.7159337514272249,0.7309236947791165,0.664-0.791,0.6275862068965518,0.875,0.5294117647058824,0.125,0.1937859741952813,0.24113036692142487
XGBoost,Male_Above,211.0,0.7156398296356201,0.7084437086092715,0.629-0.780,0.8531306223146786,0.8563049853372434,0.816-0.893,0.7684210526315789,0.9668874172185431,0.7333333333333333,0.033112582781456956,0.12120883138541362,0.18251369893550873
XGBoost,DELTA: Female - Male,,,-0.038514208055147825,-0.133-0.060,,0.021427687739700607,-0.043-0.079,,,,,,
XGBoost,DELTA: Older - Younger,,,-0.05432509423894538,-0.143-0.031,,0.11041174927878306,0.049-0.169,,,,,,
